[-0.32316657+0.j]
[-0.30015416+0.j]
[-0.27880458+0.j]
[-0.25899348+0.j]
[-0.24060651+0.j]
[-0.22353845+0.j]
[-0.20769233+0.j]
[-0.1929787+0.j]
[-0.17931504+0.j]
[-0.16662508+0.j]
[-0.15483833+0.j]
[-0.14388962+0.j]
[-0.1337186+0.j]
[-0.12426943+0.j]
[-0.11549037+0.j]
[-0.10733347+0.j]
[-0.0997543+0.j]
[-0.09271166+0.j]
[-0.08616733+0.j]
[-0.08008586+0.j]
[-0.07443435+0.j]
[-0.06918227+0.j]
[-0.06430129+0.j]
[-0.0597651+0.j]
[-0.05554925+0.j]
[-0.05163109+0.j]
[-0.04798952+0.j]
[-0.04460499+0.j]
[-0.04145931+0.j]
[-0.03853562+0.j]
[-0.0358182+0.j]
[-0.0332925+0.j]
[-0.03094498+0.j]
[-0.02876304+0.j]
[-0.026735+0.j]
[-0.02485+0.j]
[-0.02309793+0.j]
[-0.02146943+0.j]
[-0.01995576+0.j]
[-0.01854883+0.j]
[-0.01724111+0.j]
[-0.0160256+0.j]
[-0.01489579+0.j]
[-0.01384565+0.j]
[-0.01286954+0.j]
[-0.01196226+0.j]
[-0.01111894+0.j]
[-0.01033508+0.j]
[-0.00960649+0.j]
[-0.00892926+0.j]
[-0.00829977+0.j]
[-0.00771467+0.j]
[-0.00717081+0.j]
[-0.00666529+0.j]
[-0.00619542+0.j]
[-0.00575867+0.j]
[-0.0053527+0.j]
[-0.00497536+0.j]
[-0.00462462+0.j]
[-0.0042986+0.j]
[-0.00399557+0.j]
[-0.0037139+0.j]
[-0.00345209+0.j]
[-0.00320873+0.j]
[-0.00298253+0.j]
[-0.00277228+0.j]
[-0.00257685+0.j]
[-0.00239519+0.j]
[-0.00222634+0.j]
[-0.0020694+0.j]
[-0.00192351+0.j]
[-0.00178792+0.j]
[-0.00166188+0.j]
[-0.00154472+0.j]
[-0.00143583+0.j]
[-0.00133461+0.j]
[-0.00124053+0.j]
[-0.00115307+0.j]
[-0.00107179+0.j]
[-0.00099623+0.j]
[-0.000926+0.j]
[-0.00086073+0.j]
[-0.00080005+0.j]
[-0.00074365+0.j]
[-0.00069123+0.j]
[-0.0006425+0.j]
[-0.0005972+0.j]
[-0.0005551+0.j]
[-0.00051597+0.j]
[-0.0004796+0.j]
[-0.00044579+0.j]
[-0.00041436+0.j]
[-0.00038515+0.j]
[-0.000358+0.j]
[-0.00033276+0.j]
[-0.00030931+0.j]
[-0.0002875+0.j]
[-0.00026723+0.j]
[-0.0002484+0.j]
[-0.00023089+0.j]
[-0.00021461+0.j]
[-0.00019948+0.j]
[-0.00018542+0.j]
[-0.00017235+0.j]
[-0.0001602+0.j]
[-0.0001489+0.j]
[-0.00013841+0.j]
[-0.00012865+0.j]
[-0.00011958+0.j]
[-0.00011115+0.j]
[-0.00010332+0.j]
[-9.60324143e-05+0.j]
[-8.92626206e-05+0.j]
[-8.29700627e-05+0.j]
[-7.71210979e-05+0.j]
[-7.16844552e-05+0.j]
[-6.6631068e-05+0.j]
[-6.19339188e-05+0.j]
[-5.75678945e-05+0.j]
[-5.35096526e-05+0.j]
[-4.9737496e-05+0.j]
[-4.62312571e-05+0.j]
[-4.29721901e-05+0.j]
[-3.99428706e-05+0.j]
[-3.71271027e-05+0.j]
[-3.4509832e-05+0.j]
[-3.20770655e-05+0.j]
[-2.98157966e-05+0.j]
[-2.77139355e-05+0.j]
[-2.57602449e-05+0.j]
[-2.39442795e-05+0.j]
[-2.22563304e-05+0.j]
[-2.0687373e-05+0.j]
[-1.92290191e-05+0.j]
[-1.78734717e-05+0.j]
[-1.66134834e-05+0.j]
[-1.54423179e-05+0.j]
[-1.43537135e-05+0.j]
[-1.33418502e-05+0.j]
[-1.24013181e-05+0.j]
[-1.15270886e-05+0.j]
[-1.07144879e-05+0.j]
[-9.95917133e-06+0.j]
[-9.25710073e-06+0.j]
[-8.60452251e-06+0.j]
[-7.99794772e-06+0.j]
[-7.43413335e-06+0.j]
[-6.910065e-06+0.j]
[-6.42294079e-06+0.j]
[-5.97015634e-06+0.j]
[-5.54929088e-06+0.j]
[-5.15809428e-06+0.j]
[-4.79447504e-06+0.j]
[-4.45648909e-06+0.j]
[-4.14232942e-06+0.j]
[-3.8503164e-06+0.j]
[-3.5788888e-06+0.j]
[-3.32659546e-06+0.j]
[-3.09208751e-06+0.j]
[-2.87411117e-06+0.j]
[-2.67150104e-06+0.j]
[-2.4831739e-06+0.j]
[-2.30812285e-06+0.j]
[-2.145412e-06+0.j]
[-1.99417144e-06+0.j]
[-1.85359256e-06+0.j]
[-1.72292377e-06+0.j]
[-1.60146647e-06+0.j]
[-1.48857128e-06+0.j]
[-1.38363462e-06+0.j]
[-1.28609546e-06+0.j]
[-1.19543232e-06+0.j]
[-1.11116046e-06+0.j]
[-1.03282933e-06+0.j]
[-9.60020153e-07+0.j]
[-8.92343646e-07+0.j]
[-8.29437987e-07+0.j]
[-7.70966855e-07+0.j]
[-7.16617638e-07+0.j]
[-6.66099763e-07+0.j]
[-6.19143139e-07+0.j]
[-5.75496717e-07+0.j]
[-5.34927145e-07+0.j]
[-4.97217519e-07+0.j]
[-4.62166229e-07+0.j]
[-4.29585876e-07+0.j]
[-3.99302271e-07+0.j]
[-3.71153505e-07+0.j]
[-3.44989082e-07+0.j]
[-3.20669118e-07+0.j]
[-2.98063587e-07+0.j]
[-2.7705163e-07+0.j]
[-2.57520908e-07+0.j]
[-2.39367002e-07+0.j]
[-2.22492854e-07+0.j]
[-2.06808246e-07+0.j]
[-1.92229324e-07+0.j]
[-1.7867814e-07+0.j]
[-1.66082246e-07+0.j]
[-1.54374298e-07+0.j]
[-1.434917e-07+0.j]
[-1.3337627e-07+0.j]
[-1.23973926e-07+0.j]
[-1.15234398e-07+0.j]
[-1.07110963e-07+0.j]
[-9.95601886e-08+0.j]
[-9.25417049e-08+0.j]
[-8.60179884e-08+0.j]
[-7.99541606e-08+0.j]
[-7.43178015e-08+0.j]
[-6.90787769e-08+0.j]
[-6.42090768e-08+0.j]
[-5.96826655e-08+0.j]
[-5.54753431e-08+0.j]
[-5.15646154e-08+0.j]
[-4.7929574e-08+0.j]
[-4.45507844e-08+0.j]
[-4.14101821e-08+0.j]
[-3.84909762e-08+0.j]
[-3.57775595e-08+0.j]
[-3.32554247e-08+0.j]
[-3.09110874e-08+0.j]
[-2.8732014e-08+0.j]
[-2.67065541e-08+0.j]
[-2.48238787e-08+0.j]
[-2.30739224e-08+0.j]
[-2.14473289e-08+0.j]
[-1.9935402e-08+0.j]
[-1.85300582e-08+0.j]
[-1.7223784e-08+0.j]
[-1.60095954e-08+0.j]
[-1.48810009e-08+0.j]
[-1.38319665e-08+0.j]
[-1.28568836e-08+0.j]
[-1.19505392e-08+0.j]
[-1.11080873e-08+0.j]
[-1.0325024e-08+0.j]
[-9.59716269e-09+0.j]
[-8.92061185e-09+0.j]
[-8.29175438e-09+0.j]
[-7.70722814e-09+0.j]
[-7.16390801e-09+0.j]
[-6.65888916e-09+0.j]
[-6.18947156e-09+0.j]
[-5.7531455e-09+0.j]
[-5.34757819e-09+0.j]
[-4.9706013e-09+0.j]
[-4.62019936e-09+0.j]
[-4.29449895e-09+0.j]
[-3.99175876e-09+0.j]
[-3.7103602e-09+0.j]
[-3.4487988e-09+0.j]
[-3.20567614e-09+0.j]
[-2.97969238e-09+0.j]
[-2.76963932e-09+0.j]
[-2.57439392e-09+0.j]
[-2.39291233e-09+0.j]
[-2.22422426e-09+0.j]
[-2.06742784e-09+0.j]
[-1.92168476e-09+0.j]
[-1.78621582e-09+0.j]
[-1.66029675e-09+0.j]
[-1.54325432e-09+0.j]
[-1.43446279e-09+0.j]
[-1.33334051e-09+0.j]
[-1.23934683e-09+0.j]
[-1.15197922e-09+0.j]
[-1.07077058e-09+0.j]
[-9.95286739e-10+0.j]
[-9.25124119e-10+0.j]
[-8.59907604e-10+0.j]
[-7.99288519e-10+0.j]
[-7.4294277e-10+0.j]
[-6.90569108e-10+0.j]
[-6.41887521e-10+0.j]
[-5.96637736e-10+0.j]
[-5.5457783e-10+0.j]
[-5.15482932e-10+0.j]
[-4.79144024e-10+0.j]
[-4.45366823e-10+0.j]
[-4.13970742e-10+0.j]
[-3.84787924e-10+0.j]
[-3.57662345e-10+0.j]
[-3.3244898e-10+0.j]
[-3.09013029e-10+0.j]
[-2.87229192e-10+0.j]
[-2.66981004e-10+0.j]
[-2.4816021e-10+0.j]
[-2.30666186e-10+0.j]
[-2.144054e-10+0.j]
[-1.99290917e-10+0.j]
[-1.85241928e-10+0.j]
[-1.7218332e-10+0.j]
[-1.60045277e-10+0.j]
[-1.48762904e-10+0.j]
[-1.38275881e-10+0.j]
[-1.28528139e-10+0.j]
[-1.19467564e-10+0.j]
[-1.11045712e-10+0.j]
[-1.03217558e-10+0.j]
[-9.59412481e-11+0.j]
[-8.91778812e-11+0.j]
[-8.28912971e-11+0.j]
[-7.7047885e-11+0.j]
[-7.16164035e-11+0.j]
[-6.65678136e-11+0.j]
[-6.18751235e-11+0.j]
[-5.75132441e-11+0.j]
[-5.34588548e-11+0.j]
[-4.96902791e-11+0.j]
[-4.61873688e-11+0.j]
[-4.29313958e-11+0.j]
[-3.99049521e-11+0.j]
[-3.70918573e-11+0.j]
[-3.44770712e-11+0.j]
[-3.20466142e-11+0.j]
[-2.97874919e-11+0.j]
[-2.76876262e-11+0.j]
[-2.57357903e-11+0.j]
[-2.39215488e-11+0.j]
[-2.22352021e-11+0.j]
[-2.06677341e-11+0.j]
[-1.92107647e-11+0.j]
[-1.78565041e-11+0.j]
[-1.6597712e-11+0.j]
[-1.54276582e-11+0.j]
[-1.43400873e-11+0.j]
[-1.33291846e-11+0.j]
[-1.23895453e-11+0.j]
[-1.15161458e-11+0.j]
[-1.07043164e-11+0.j]
[-9.94971692e-12+0.j]
[-9.24831281e-12+0.j]
[-8.59635409e-12+0.j]
[-7.99035513e-12+0.j]
[-7.427076e-12+0.j]
[-6.90350516e-12+0.j]
[-6.41684338e-12+0.j]
[-5.96448877e-12+0.j]
[-5.54402285e-12+0.j]
[-5.15319761e-12+0.j]
[-4.78992356e-12+0.j]
[-4.45225847e-12+0.j]
[-4.13839704e-12+0.j]
[-3.84666123e-12+0.j]
[-3.5754913e-12+0.j]
[-3.32343747e-12+0.j]
[-3.08915214e-12+0.j]
[-2.87138273e-12+0.j]
[-2.66896494e-12+0.j]
[-2.48081658e-12+0.j]
[-2.30593171e-12+0.j]
[-2.14337533e-12+0.j]
[-1.99227834e-12+0.j]
[-1.85183291e-12+0.j]
[-1.72128817e-12+0.j]
[-1.59994617e-12+0.j]
[-1.48715815e-12+0.j]
[-1.38232112e-12+0.j]
[-1.28487455e-12+0.j]
[-1.19429747e-12+0.j]
[-1.11010562e-12+0.j]
[-1.03184885e-12+0.j]
[-9.5910879e-13+0.j]
